series,orientation,termination,formula,strain_mode,n_points,epsilon_min,epsilon_max,stress_slope_kbar_per_eps,stress_intercept_kbar,zero_stress_epsilon,stress_at_zero_kbar,tau_slope_n_per_m_per_eps,tau_intercept_n_per_m,tau_at_zero_n_per_m,r2_stress_fit,fit_status,warnings
C100_2x1_H_6L_sym,(100),H,C24H8,biaxial,5,-0.01,0.01,-4299.200000000001,-21.366999999999997,-0.004969994417566057,-21.366999999999997,-311.71994651968004,-1.5492463940468,-1.5492463940468,0.9993452430891897,good,
C100_2x1_H_6L_sym,(100),H,C24H8,x,5,-0.01,0.01,-2199.7999999999997,-21.926,-0.009967269751795618,-21.926,-159.49979957992,-1.5897775277704003,-1.5897775277704003,0.9996009875275697,good,
C100_2x1_H_6L_sym,(100),H,C24H8,y,5,-0.01,0.01,-2097.9999999999995,-21.935000000000002,-0.01045519542421354,-21.935000000000002,-152.1186378392,-1.5904300862740002,-1.5904300862740002,0.9995813280485045,warning,zero_stress_outside_sampled_range
C110_1x1_H_6L_SSSP_sym,(110),H,C12H4,biaxial,5,-0.01,0.01,-6028.0,38.134,0.006326144658261447,38.134,-485.17343608140004,3.0692773409967007,3.0692773409967007,0.9992892076342944,good,
C110_1x1_H_6L_SSSP_sym,(110),H,C12H4,x,5,-0.01,0.01,-3188.3000000000006,37.316,0.011704042906878272,37.316,-256.6155385299151,3.0034392735258013,3.0034392735258013,0.9995996009050225,warning,zero_stress_outside_sampled_range
C110_1x1_H_6L_SSSP_sym,(110),H,C12H4,y,5,-0.01,0.01,-2835.1000000000004,37.047000000000004,0.013067263941307184,37.047000000000004,-228.18765903025508,2.9817883686973508,2.9817883686973508,0.9998723556143848,warning,zero_stress_outside_sampled_range
C111_1x1_H_6L_sym,(111),H,C6H2,biaxial,5,-0.01,0.01,-5335.799999999999,4.506000000000002,0.0008444844259529972,4.506000000000002,-395.44403071536004,0.3339463252752003,0.3339463252752003,0.9991567707427524,good,
