family,miller,orbit,area_fraction,nx,ny,nz,surface_x_in_cubic,surface_y_in_cubic,tau_xx_surface_n_per_m,tau_yy_surface_n_per_m,tau_cubic_xx,tau_cubic_yy,tau_cubic_zz,tau_cubic_yz,tau_cubic_xz,tau_cubic_xy,epistemic_level
(111),-1-11,Td,0.125000,-0.577350,-0.577350,0.577350,-0.7071 +0.7071 +0.0000,-0.4082 -0.4082 -0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,-0.161111,-0.161111,0.161111,L1
(111),-11-1,Td,0.125000,-0.577350,0.577350,-0.577350,-0.7071 -0.7071 +0.0000,-0.4082 +0.4082 +0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,-0.161111,0.161111,-0.161111,L1
(111),1-1-1,Td,0.125000,0.577350,-0.577350,-0.577350,+0.7071 +0.7071 +0.0000,+0.4082 -0.4082 +0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,0.161111,-0.161111,-0.161111,L1
(111),111,Td,0.125000,0.577350,0.577350,0.577350,+0.7071 -0.7071 +0.0000,+0.4082 +0.4082 -0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,0.161111,0.161111,0.161111,L1
(111),-1-1-1,Td*inversion,0.125000,-0.577350,-0.577350,-0.577350,-0.7071 +0.7071 +0.0000,-0.4082 -0.4082 +0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,0.161111,0.161111,0.161111,L1
(111),-111,Td*inversion,0.125000,-0.577350,0.577350,0.577350,-0.7071 -0.7071 +0.0000,-0.4082 +0.4082 -0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,0.161111,-0.161111,-0.161111,L1
(111),1-11,Td*inversion,0.125000,0.577350,-0.577350,0.577350,+0.7071 +0.7071 +0.0000,+0.4082 -0.4082 -0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,-0.161111,0.161111,-0.161111,L1
(111),11-1,Td*inversion,0.125000,0.577350,0.577350,-0.577350,+0.7071 -0.7071 +0.0000,+0.4082 +0.4082 +0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,-0.161111,-0.161111,0.161111,L1
