surface,orientation,run,n_layers,n_carbon,n_hydrogen,atoms_per_layer,a0_angstrom,bulk_cc_bond_angstrom,surface_eps_zz_pct,max_rumpling_angstrom,max_cc_bond_dev_pct,decay_length_angstrom,decay_r_squared,decay_n_points,decay_status,decay_epistemic_level,decay_length_class0_angstrom,decay_length_class1_angstrom,penetration_depth_angstrom,penetration_threshold,noise_floor_eps_zz,fold_asymmetry_eps_zz,profile_epistemic_level,note
C100,(100),thick_a0corr~C100_16L,16,32,4,2,3.572997,1.54715,-9.2114,0.18638,2.3494,0.6520,0.7824,4,ok,L1,,,3.9479,0.001000,0.00040819,0.0000000000,L2,out-of-plane profile only; a periodic slab has no depth-dependent in-plane strain to extract
C110,(110),thick_a0corr~C110_16L,16,32,4,2,3.572997,1.54715,-2.2280,0.00000,1.0227,0.5394,1.0000,3,ok,L1,,,3.1327,0.001000,0.00011269,0.0000000079,L2,out-of-plane profile only; a periodic slab has no depth-dependent in-plane strain to extract
C111,(111),final~C111_24L,24,24,2,1,3.572997,1.54715,-5.3763,0.00000,0.5830,0.6222,0.9202,3,ok,L1,0.6215,,3.3306,0.001000,0.00084221,0.0000000000,L2,out-of-plane profile only; a periodic slab has no depth-dependent in-plane strain to extract
