surface,run,layer_index,z_center_angstrom,depth_from_surface_angstrom,n_atoms,rumpling_angstrom,d_below_angstrom,d_below_ideal_angstrom,eps_zz_below,eps_zz_below_pct,gap_class,gap_depth_angstrom,n_cc_bonds,cc_bond_mean_angstrom,cc_bond_min_angstrom,cc_bond_max_angstrom,cc_bond_dev_mean_pct,ch_bond_mean_angstrom,epistemic_level
C100,thick_a0corr~C100_16L,0,18.34413,0.00000,2,0.00007,0.81097,0.89325,-0.09211382,-9.2114,0,0.40548,4,1.58350,1.54398,1.62301,2.3494,1.10000,L2
C100,thick_a0corr~C100_16L,1,17.53316,0.81097,2,0.00020,0.90299,0.89325,0.01091004,1.0910,0,1.26247,6,1.55340,1.53861,1.57759,0.4039,,L2
C100,thick_a0corr~C100_16L,2,16.63017,1.71396,2,0.18638,0.89229,0.89325,-0.00107455,-0.1075,0,2.16011,6,1.55437,1.52505,1.57759,0.4667,,L2
C100,thick_a0corr~C100_16L,3,15.73788,2.60625,2,0.11060,0.89516,0.89325,0.00213828,0.2138,0,3.05383,6,1.54844,1.52505,1.56876,0.0832,,L2
C100,thick_a0corr~C100_16L,4,14.84272,3.50141,2,0.00113,0.89301,0.89325,-0.00027331,-0.0273,0,3.94792,6,1.54847,1.52991,1.56861,0.0854,,L2
C100,thick_a0corr~C100_16L,5,13.94971,4.39442,2,0.00162,0.89347,0.89325,0.00024812,0.0248,0,4.84115,6,1.54724,1.53850,1.55629,0.0058,,L2
C100,thick_a0corr~C100_16L,6,13.05624,5.28789,2,0.01582,0.89313,0.89325,-0.00013606,-0.0136,0,5.73445,6,1.54727,1.53850,1.55629,0.0074,,L2
C100,thick_a0corr~C100_16L,7,12.16311,6.18102,2,0.01018,0.89334,0.89325,0.00009662,0.0097,0,6.62768,6,1.54717,1.54342,1.55114,0.0013,,L2
C100,thick_a0corr~C100_16L,8,11.26978,6.18102,2,0.01018,0.89313,0.89325,-0.00013606,-0.0136,0,5.73445,6,1.54717,1.54342,1.55114,0.0013,,L2
C100,thick_a0corr~C100_16L,9,10.37665,5.28789,2,0.01582,0.89347,0.89325,0.00024812,0.0248,0,4.84115,6,1.54727,1.53850,1.55629,0.0074,,L2
C100,thick_a0corr~C100_16L,10,9.48318,4.39442,2,0.00162,0.89301,0.89325,-0.00027331,-0.0273,0,3.94792,6,1.54724,1.53850,1.55629,0.0058,,L2
C100,thick_a0corr~C100_16L,11,8.59017,3.50141,2,0.00113,0.89516,0.89325,0.00213828,0.2138,0,3.05383,6,1.54847,1.52991,1.56861,0.0854,,L2
C100,thick_a0corr~C100_16L,12,7.69502,2.60625,2,0.11060,0.89229,0.89325,-0.00107455,-0.1075,0,2.16011,6,1.54844,1.52505,1.56876,0.0832,,L2
C100,thick_a0corr~C100_16L,13,6.80273,1.71396,2,0.18638,0.90299,0.89325,0.01091004,1.0910,0,1.26247,6,1.55437,1.52505,1.57759,0.4667,,L2
C100,thick_a0corr~C100_16L,14,5.89973,0.81097,2,0.00020,0.81097,0.89325,-0.09211382,-9.2114,0,0.40548,6,1.55340,1.53861,1.57759,0.4039,,L2
C100,thick_a0corr~C100_16L,15,5.08876,0.00000,2,0.00007,,,,,,,4,1.58350,1.54398,1.62301,2.3494,1.10000,L2
