landmark,surfaces,delta_mu_ev,p_h2_bar,p_h2_pa,p_h2_torr,temperature_k,temperature_c,reachable,temperature_uncertainty_k
wulff_available,all,0.3367915593811016,1.0,100000.0,750.0616827044659,545.039044015092,271.88904401509205,True,9.786085824152112
wulff_available,all,0.3367915593811016,0.001,100.0,0.7500616827044659,389.06096539202167,115.9109653920217,True,7.402534185397329
wulff_available,all,0.3367915593811016,1e-06,0.09999999999999999,0.0007500616827044659,299.42851465809224,26.278514658092263,True,5.899540072826714
wulff_available,all,0.3367915593811016,1e-09,0.0001,7.500616827044659e-07,242.05945063920598,-31.090549360794,True,4.88023801690461
wulff_available,all,0.3367915593811016,1e-12,1e-07,7.500616827044659e-10,202.50451060319938,-70.6454893968006,True,4.149394449539004
zero,C110,0.23284467366631256,1.0,100000.0,750.0616827044659,405.5495019865125,132.39950198651252,True,10.39074055807991
zero,C110,0.23284467366631256,0.001,100.0,0.7500616827044659,284.1385048467996,10.988504846799628,True,7.766044786802701
zero,C110,0.23284467366631256,1e-06,0.09999999999999999,0.0007500616827044659,216.13954351173845,-57.010456488261525,True,6.137112862839372
zero,C110,0.23284467366631256,1e-09,0.0001,7.500616827044659e-07,173.35747435950958,-99.7925256404904,True,5.045857080658755
zero,C110,0.23284467366631256,1e-12,1e-07,7.500616827044659e-10,,,False,nan
zero,C111,0.3367915593811016,1.0,100000.0,750.0616827044659,545.039044015092,271.88904401509205,True,9.786085824152112
zero,C111,0.3367915593811016,0.001,100.0,0.7500616827044659,389.06096539202167,115.9109653920217,True,7.402534185397329
zero,C111,0.3367915593811016,1e-06,0.09999999999999999,0.0007500616827044659,299.42851465809224,26.278514658092263,True,5.899540072826714
zero,C111,0.3367915593811016,1e-09,0.0001,7.500616827044659e-07,242.05945063920598,-31.090549360794,True,4.88023801690461
zero,C111,0.3367915593811016,1e-12,1e-07,7.500616827044659e-10,202.50451060319938,-70.6454893968006,True,4.149394449539004
ordering,C100+C110,0.843191333746182,1.0,100000.0,750.0616827044659,1154.8821717138744,881.7321717138744,True,8.514941354108428
ordering,C100+C110,0.843191333746182,0.001,100.0,0.7500616827044659,857.6839077878435,584.5339077878435,True,6.62177635766364
ordering,C100+C110,0.843191333746182,1e-06,0.09999999999999999,0.0007500616827044659,677.0245353204632,403.8745353204632,True,5.378658699089338
ordering,C100+C110,0.843191333746182,1e-09,0.0001,7.500616827044659e-07,556.9217858997106,283.7717858997106,True,4.511155902712067
ordering,C100+C110,0.843191333746182,1e-12,1e-07,7.500616827044659e-10,471.83124194232494,198.68124194232496,True,3.8756442618060407
ordering,C100+C111,2.642929324690332,1.0,100000.0,750.0616827044659,3006.320405290745,2733.170405290745,True,7.1971353271425915
ordering,C100+C111,2.642929324690332,0.001,100.0,0.7500616827044659,2327.3096048691586,2054.1596048691586,True,5.795370583435979
ordering,C100+C111,2.642929324690332,1e-06,0.09999999999999999,0.0007500616827044659,1887.3092264899583,1614.1592264899582,True,4.820883213110894
ordering,C100+C111,2.642929324690332,1e-09,0.0001,7.500616827044659e-07,1581.8635124984467,1308.7135124984466,True,4.111881816800535
ordering,C100+C111,2.642929324690332,1e-12,1e-07,7.500616827044659e-10,1358.6837020743487,1085.5337020743486,True,3.57653058405143
