surface,run,layer_index,z_center_angstrom,depth_from_surface_angstrom,n_atoms,rumpling_angstrom,d_below_angstrom,d_below_ideal_angstrom,eps_zz_below,eps_zz_below_pct,gap_class,gap_depth_angstrom,n_cc_bonds,cc_bond_mean_angstrom,cc_bond_min_angstrom,cc_bond_max_angstrom,cc_bond_dev_mean_pct,ch_bond_mean_angstrom,epistemic_level
C110,thick_a0corr~C110_16L,0,23.81308,0.00000,2,0.00000,1.23510,1.26325,-0.02228038,-2.2280,0,0.61755,4,1.53133,1.52541,1.53725,-1.0227,1.09913,L2
C110,thick_a0corr~C110_16L,1,22.57798,1.23510,2,0.00000,1.26608,1.26325,0.00224100,0.2241,0,1.86814,6,1.54396,1.53725,1.55079,-0.2066,,L2
C110,thick_a0corr~C110_16L,2,21.31190,2.50118,2,0.00000,1.26298,1.26325,-0.00021033,-0.0210,0,3.13267,6,1.54840,1.54659,1.55079,0.0808,,L2
C110,thick_a0corr~C110_16L,3,20.04892,3.76416,2,0.00000,1.26323,1.26325,-0.00001445,-0.0014,0,4.39577,6,1.54697,1.54659,1.54718,-0.0120,,L2
C110,thick_a0corr~C110_16L,4,18.78569,5.02738,2,0.00000,1.26326,1.26325,0.00000906,0.0009,0,5.65901,6,1.54715,1.54713,1.54717,-0.0005,,L2
C110,thick_a0corr~C110_16L,5,17.52244,6.29064,2,0.00000,1.26329,1.26325,0.00003332,0.0033,0,6.92228,6,1.54717,1.54716,1.54718,0.0012,,L2
C110,thick_a0corr~C110_16L,6,16.25915,7.55393,2,0.00000,1.26323,1.26325,-0.00001187,-0.0012,0,8.18554,6,1.54716,1.54715,1.54718,0.0005,,L2
C110,thick_a0corr~C110_16L,7,14.99592,8.81716,2,0.00000,1.26320,1.26325,-0.00003756,-0.0038,0,9.44876,6,1.54714,1.54712,1.54715,-0.0010,,L2
C110,thick_a0corr~C110_16L,8,13.73272,8.81716,2,0.00000,1.26323,1.26325,-0.00001188,-0.0012,0,8.18554,6,1.54714,1.54712,1.54715,-0.0010,,L2
C110,thick_a0corr~C110_16L,9,12.46949,7.55393,2,0.00000,1.26329,1.26325,0.00003333,0.0033,0,6.92228,6,1.54716,1.54715,1.54718,0.0005,,L2
C110,thick_a0corr~C110_16L,10,11.20620,6.29064,2,0.00000,1.26326,1.26325,0.00000905,0.0009,0,5.65901,6,1.54717,1.54716,1.54718,0.0012,,L2
C110,thick_a0corr~C110_16L,11,9.94295,5.02738,2,0.00000,1.26323,1.26325,-0.00001445,-0.0014,0,4.39577,6,1.54715,1.54713,1.54717,-0.0005,,L2
C110,thick_a0corr~C110_16L,12,8.67972,3.76416,2,0.00000,1.26298,1.26325,-0.00021032,-0.0210,0,3.13267,6,1.54697,1.54659,1.54718,-0.0120,,L2
C110,thick_a0corr~C110_16L,13,7.41674,2.50118,2,0.00000,1.26608,1.26325,0.00224099,0.2241,0,1.86814,6,1.54840,1.54659,1.55079,0.0808,,L2
C110,thick_a0corr~C110_16L,14,6.15066,1.23510,2,0.00000,1.23510,1.26325,-0.02228037,-2.2280,0,0.61755,6,1.54396,1.53725,1.55079,-0.2066,,L2
C110,thick_a0corr~C110_16L,15,4.91556,0.00000,2,0.00000,,,,,,,4,1.53133,1.52541,1.53725,-1.0227,1.09913,L2
