family,miller,orbit,area_fraction,nx,ny,nz,surface_x_in_cubic,surface_y_in_cubic,tau_xx_surface_n_per_m,tau_yy_surface_n_per_m,tau_cubic_xx,tau_cubic_yy,tau_cubic_zz,tau_cubic_yz,tau_cubic_xz,tau_cubic_xy,epistemic_level
(100),-100,Td,0.166667,-1.000000,0.000000,0.000000,+0.0000 +0.7071 -0.7071,+0.0000 -0.7071 -0.7071,-1.032322,5.024064,0.000000,1.995871,1.995871,3.028193,0.000000,0.000000,L1
(100),0-10,Td,0.166667,0.000000,-1.000000,0.000000,+0.7071 +0.0000 -0.7071,-0.7071 +0.0000 -0.7071,-1.032322,5.024064,1.995871,0.000000,1.995871,0.000000,3.028193,0.000000,L1
(100),00-1,Td,0.166667,0.000000,0.000000,-1.000000,+0.7071 -0.7071 +0.0000,-0.7071 -0.7071 +0.0000,-1.032322,5.024064,1.995871,1.995871,0.000000,0.000000,0.000000,3.028193,L1
(100),001,Td,0.166667,0.000000,0.000000,1.000000,+0.7071 +0.7071 +0.0000,-0.7071 +0.7071 +0.0000,-1.032322,5.024064,1.995871,1.995871,0.000000,0.000000,0.000000,-3.028193,L1
(100),010,Td,0.166667,0.000000,1.000000,0.000000,+0.7071 +0.0000 +0.7071,-0.7071 +0.0000 +0.7071,-1.032322,5.024064,1.995871,0.000000,1.995871,0.000000,-3.028193,0.000000,L1
(100),100,Td,0.166667,1.000000,0.000000,0.000000,+0.0000 +0.7071 +0.7071,+0.0000 -0.7071 +0.7071,-1.032322,5.024064,0.000000,1.995871,1.995871,-3.028193,0.000000,0.000000,L1
