surface,orientation,epistemic_level,gamma_h_rich_j_m2,gamma_scatter_j_m2,dgamma_dmu_j_m2_per_ev,coverage_n_h_over_2a_per_a2,zero_crossing_delta_mu_ev,n_H,cell_area_angstrom2,mu_c_fit_ry,mu_c_bulk_ry,mu_c_drift_mry,fit_rms_ry,layers_used,layers_excluded,per_slab_gamma_j_m2,mu_h_rich_ry,mu_c_reference,notes
C100,(100),L1,0.0501,0.0241,2.5100,0.1567,-0.0200,4,12.7663,-18.434129349,-18.434076958,-0.0524,0.001151684,8L 10L 12L 16L,6L,6L:+0.2917; 8L:+0.0333; 10L:+0.0575; 12L:+0.0342; 16L:+0.0343,-1.166457483,results/reference_90_720/bulk_fit_summary.json,fitted mu_C drifts -0.0524 mRy from the bulk reference (tolerance 0.020 mRy); per-slab gamma scatters by 0.0241 J/m^2 across the fitted ladder
C110,(110),L2,-0.8265,0.0003,3.5497,0.2216,0.2328,4,9.0271,-18.434075250,-18.434076958,0.0017,0.000000195,8L 10L 12L 16L,6L,6L:-0.8262; 8L:-0.8262; 10L:-0.8261; 12L:-0.8260; 16L:-0.8259,-1.166457483,results/reference_90_720/bulk_fit_summary.json,
C111,(111),L2,-0.9761,0.0006,2.8983,0.1809,0.3368,2,5.5280,-18.434073774,-18.434076958,0.0032,0.000005412,8L 10L 12L 16L,6L,6L:-0.9744; 8L:-0.9755; 10L:-0.9756; 12L:-0.9755; 16L:-0.9750,-1.166457483,results/reference_90_720/bulk_fit_summary.json,
