delta_mu_h_ev,gamma_100_j_m2,gamma_110_j_m2,gamma_111_j_m2,area_fraction_100,area_fraction_110,area_fraction_111,pressure_gpa,delta_D_band_lo_mhz,delta_D_band_hi_mhz,e_max_mhz
2.711486,6.855974,8.798400,6.882593,0.405496,0.000000,0.594504,0.695966,5.532040,9.149993,0.000000
2.733679,6.911680,8.877180,6.946917,0.407221,0.000000,0.592779,0.701668,5.577358,9.224950,0.000000
2.755873,6.967385,8.955959,7.011240,0.408920,0.000000,0.591080,0.707284,5.622003,9.298794,0.000000
2.778066,7.023091,9.034739,7.075563,0.410594,0.000000,0.589406,0.712818,5.665990,9.371548,0.000000
2.800259,7.078797,9.113519,7.139887,0.412244,0.000000,0.587756,0.718271,5.709333,9.443236,0.000000
2.822453,7.134502,9.192298,7.204210,0.413869,0.000000,0.586131,0.723644,5.752045,9.513882,0.000000
2.844646,7.190208,9.271078,7.268533,0.415472,0.000000,0.584528,0.728940,5.794140,9.583507,0.000000
2.866840,7.245913,9.349857,7.332856,0.417051,0.000000,0.582949,0.734160,5.835631,9.652134,0.000000
2.889033,7.301619,9.428637,7.397180,0.418607,0.000000,0.581393,0.739306,5.876532,9.719784,0.000000
2.911226,7.357325,9.507417,7.461503,0.420142,0.000000,0.579858,0.744378,5.916854,9.786476,0.000000
2.933420,7.413030,9.586196,7.525826,0.421655,0.000000,0.578345,0.749380,5.956609,9.852232,0.000000
2.955613,7.468736,9.664976,7.590149,0.423147,0.000000,0.576853,0.754312,5.995810,9.917070,0.000000
2.977807,7.524441,9.743755,7.654473,0.424618,0.000000,0.575382,0.759175,6.034467,9.981009,0.000000
3.000000,7.580147,9.822535,7.718796,0.426069,0.000000,0.573931,0.763971,6.072593,10.044068,0.000000
