run_path,folder_name,calculation_type,strain_type,epsilon,cell_type,functional,pseudo_C,pseudo_dir,ecutwfc,ecutrho,kpoints,status,complete,needs_attention,energy_ry,energy_ev,energy_per_atom_ry,energy_per_atom_ev,pressure_kbar,pressure_gpa,stress_xx_kbar,stress_yy_kbar,stress_zz_kbar,stress_xy_kbar,stress_xz_kbar,stress_yz_kbar,mean_normal_stress_kbar,stress_anisotropy_kbar,max_abs_shear_stress_kbar,hydrostatic_quality,volume_angstrom3,volume_per_atom_angstrom3,a_angstrom,a_from_volume_angstrom,nat,ntyp,scf_iterations,ionic_steps,wall_time,warnings,errors
results/reference_90_720/H2,H2,scf,H2,,,,H_ONCV_PBE-1.0.oncvpsp.upf,./,90.0,720.0,,JOB DONE,True,True,-2.33291497,-31.74092516385875,-1.166457485,-15.870462581929376,,,,,,,,,,,,unknown,1185.477691777302,592.738845888651,10.583544218059998,10.583544218059997,2,1,7,2,19.0,floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL,
results/reference_90_720/bulk90~eps_+0.000,bulk90~eps_+0.000,scf,bulk90~eps_+0.000,,,,C.pbe-n-kjpaw_psl.1.0.0.UPF,./,90.0,720.0,8 8 8,JOB DONE,True,True,-147.47249987,-2006.4655773119925,-18.43406248375,-250.80819716399907,21.85,2.185,21.85,21.85,21.85,0.0,0.0,0.0,21.850000000000005,0.0,0.0,good,45.38563287181577,5.673204108976972,3.5670248255338515,3.567024825533852,8,1,11,,12.54,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead; SCF correction compared to forces is large: reduce conv_thr to get better values; This is a supercell, fractional translations are disabled; floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL",
results/reference_90_720/bulk90~eps_+0.005,bulk90~eps_+0.005,scf,bulk90~eps_+0.005,,,,C.pbe-n-kjpaw_psl.1.0.0.UPF,./,90.0,720.0,8 8 8,JOB DONE,True,True,-147.47217057,-2006.461096957247,-18.43402132125,-250.80763711965588,-42.53,-4.253,-42.53,-42.53,-42.53,0.0,0.0,0.0,-42.53,0.0,0.0,good,46.06975555458067,5.758719444322583,3.5848580975412827,3.5848580975412823,8,1,11,,12.16,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead; SCF correction compared to forces is large: reduce conv_thr to get better values; This is a supercell, fractional translations are disabled; floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL",
results/reference_90_720/bulk90~eps_+0.010,bulk90~eps_+0.010,scf,bulk90~eps_+0.010,,,,C.pbe-n-kjpaw_psl.1.0.0.UPF,./,90.0,720.0,8 8 8,JOB DONE,True,True,-147.46985847,-2006.4296392341773,-18.43373230875,-250.80370490427217,-103.12,-10.312000000000001,-103.12,-103.12,-103.12,0.0,0.0,0.0,-103.12,0.0,0.0,good,46.76071869702537,5.845089837128171,3.602691369548714,3.6026913695487135,8,1,11,,12.22,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead; SCF correction compared to forces is large: reduce conv_thr to get better values; This is a supercell, fractional translations are disabled; floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL",
results/reference_90_720/bulk90~eps_-0.005,bulk90~eps_-0.005,scf,bulk90~eps_-0.005,,,,C.pbe-n-kjpaw_psl.1.0.0.UPF,./,90.0,720.0,8 8 8,JOB DONE,True,True,-147.47076185,-2006.441930345231,-18.43384523125,-250.80524129315387,90.26,9.026000000000002,90.26,90.26,90.26,0.0,0.0,0.0,90.26,0.0,0.0,good,44.70631687432007,5.588289609290009,3.54913863580533,3.54913863580533,8,1,13,,14.29,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead; SCF correction compared to forces is large: reduce conv_thr to get better values; This is a supercell, fractional translations are disabled; floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL",
results/reference_90_720/bulk90~eps_-0.010,bulk90~eps_-0.010,scf,bulk90~eps_-0.010,,,,C.pbe-n-kjpaw_psl.1.0.0.UPF,./,90.0,720.0,8 8 8,JOB DONE,True,True,-147.4668736,-2006.3890280089456,-18.4333592,-250.7986285011182,162.86,16.286,162.86,162.86,162.86,0.0,0.0,0.0,162.86,0.0,0.0,good,44.035793070563514,5.504474133820439,3.5313053637978995,3.5313053637978986,8,1,11,,12.15,"using ibrav=0 with symmetry is DISCOURAGED, use correct ibrav instead; SCF correction compared to forces is large: reduce conv_thr to get better values; This is a supercell, fractional translations are disabled; floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL",
